product_category_name_english,revenue,orders,items,avg_price,avg_freight,avg_review,unique_customers,revenue_share_pct,items_per_order
Bed & Table & Bath,1712553.67,9417,11115,93.3,18.42,3.9,9145,8.54,1.18
Health & Beauty,1657516.58,8836,9670,130.16,18.88,4.14,8678,8.26,1.09
Computers & Accessories,1585330.45,6689,7827,116.51,18.82,3.93,6557,7.9,1.17
Furniture & Decor,1430176.39,6449,8334,87.56,20.73,3.91,6317,7.13,1.29
Watches & Gifts,1429216.68,5624,5991,201.14,16.78,4.02,5547,7.13,1.07
Sports & Leisure,1392127.56,7720,8641,114.34,19.51,4.11,7515,6.94,1.12
Home Utilities,1094758.13,5884,6964,90.79,20.99,4.05,5821,5.46,1.18
Automotive,852294.33,3897,4235,139.96,21.88,4.06,3852,4.25,1.09
Garden Tools,838280.75,3518,4347,111.63,22.77,4.05,3489,4.18,1.24
Cool Stuff,779698.0,3632,3796,167.36,22.14,4.15,3615,3.89,1.05
moveis_escritorio,646826.49,1273,1691,162.01,40.55,3.49,1264,3.23,1.33
Toys,619037.69,3886,4117,117.55,18.81,4.16,3844,3.09,1.06
Baby Products,539845.66,2885,3065,134.34,22.3,4.01,2858,2.69,1.06
Perfumery,506738.66,3162,3419,116.74,15.86,4.17,3124,2.53,1.08
Telephony,486882.05,4199,4545,71.21,15.67,3.95,4152,2.43,1.08
Stationery,317440.07,2311,2517,91.75,18.59,4.2,2296,1.58,1.09
pet_shop,311268.97,1710,1947,110.07,20.32,4.18,1689,1.55,1.14
pcs,279121.55,181,203,1098.34,48.45,4.18,179,1.39,1.12
eletronicos,259857.1,2550,2767,57.91,16.83,4.04,2540,1.3,1.09
Construction Tools,241475.63,748,929,155.73,22.23,4.05,744,1.2,1.24
instrumentos_musicais,233074.12,628,680,281.62,27.41,4.15,624,1.16,1.08
Small Appliances,225584.38,630,679,280.78,23.59,4.15,627,1.12,1.08
fashion_bolsas_e_acessorios,218158.28,1864,2031,75.25,15.48,4.14,1798,1.09,1.09
telefonia_fixa,207010.26,217,264,225.69,17.57,3.68,217,1.03,1.22
consoles_games,195480.38,1062,1137,138.49,17.44,4.02,1058,0.97,1.07
Luggage & Accessories,187151.29,1034,1092,128.6,27.88,4.32,1028,0.93,1.06
